1,Mokada yako sinhalen liyanne israilaye inna eun sinhala dannwadha anunge ledawal asse atha dannathiwa wadak naththam kuburakwath kotapiyau,negative
2,Wena ratawala prasna eun bera gani ape rate minissu beraganna balanna vesel vetharane balti nane dan jvp,negative
3,Ambulance buyyek ehema dakke nadda?,negative
4,Oya anunta kade yana unwa koheta hari yawanna bada boru kiyanawata hodak sedda wanna epa,negative
5,muta kawuda acharya pattama dunne,negative
6,Oya 5 nhe ne. pls Conta wela inna,negative
7,Ubalath ehema ne giya aanduwen monawa hari wadak patan gatthama ohoma ne ahuwe..,negative
8,me kiyana widihata highway eka hadala thiyenne deshapaluwone..minissunge badu salli walin newei wage,negative
9,devi mathiniya obatumiya ratnapure maruna korona marana 5ta mokada une?,negative
10,Kalakanni. un Hariyata gewal asseth mask dagena innawa wage kathawa. pa#£@#,negative
11,Munge puduma loku kamak thiyenne.. me welawe kochchara minissu duk widinawada covid nisa .. parawal hadana eka hodai eth me welawe karanna oni owa nemeine. Owage yanna minissu ithuru wenna epai..,negative
12,Thooo chiinetaa pukakaa dilaa magee rata kanna heduvoth mama thage sanvareetama sapakaranava ayee thopita manushya athmayak nethivenna denaganin china nemee americs ho indiya..can not tuch my cournty,negative
13,Rilaw ge athata mal maalayak dunna wage me pavithra peni mutti bhaandage athata sawkya amaanthyawa deela tiyenne... Me moda haraki langadee ma me rata winasha karala daai,negative
14,maranthika wasangatha kaale komis ganna wada karana hathikare. 69 lakshe paw ane.,negative
15,okkoma hare muga hate balahan. katusso kapu puusak waga,negative
16,sunami adara walata mokada une kiyala ingreesiyen ahanne kohomada?,negative
17,Ubala okkoma horu thuuu withrakkk,negative
18,Onna ohomai uneykotinge jayagrahayata rani kiriella john ravi wajiramangala madduma bandarala thamai kotinta jaya denna anika sarath fonseykawa langa thiyana rajithala prabakaran mahaththaya kiyanawa phelatama hodai kuhakayo kawadawath jaya ganne nehe ounta ath wenne avichi maha narakadiya Go to hell apita kiyanna eththe ochcharai,negative
19,Weerasekaraya kohenda bn paath uneee,negative
20,ara pakshetai me pakshetai kade giyata awasanedi hireta bath eka hari aran yanna inne amma withary,negative
21,3n 2 ganna badurdeengei hakeemgei manthrila bagaddi sar epa wune nadda?,negative
22,Etakota fild Marshall sarath fonseka mukutma kare nadda?,negative
23,mewage dewal kiyana kalakannin ta daruwo kiyanne sampathk bawa notherena ekane pudume muge athdeka vinasha wenna one mewage amana katha liyana wata,negative
24,Kalakanni jvp paraya.yako kisima kenekta ohoma kiyanna epa. politics ube job eka. ipadenna enna podi daruwanta ohoma kiyanna epa. minissu wage wadagath deshapalanayak karapalla. Saththu wenna epa,negative
25,Nodakin kalakanni hathta thopita daruwo nada yako,negative
26,Palayan ban pariwakin boru pada sho noda,negative
27,Oya akarshana deela janathawa ayith mula karanna bariwewi janthawa awadthawa enathek iwasawi,negative
