1,ugathun buddimathun goni gananin athi me samajaya thula oba wani nirmanasheelee daksha rijuwa ilakkayak kara gaman karana amathyawarayeku gana apata aththe nihathamani adambarayak saha wishwasayak,positive
2,piliwelakata karagena yana obe saukya arakshawa pilibanda wadapiliwela ithamath ageyi..sthuthiyi hadawathinma,positive
3,Mama obathumiyata 1994 Indan manapayak denne paakshika gaurawaya saha abhimaaya nisaie eeth kawadawath obathumiya munagehila kathakalla,udu illala nee, obathumiyata deergayu weewa,positive
4,oba niyama deshapalakayek.oba gamana yana widiya niwaradiyi.piliwelai.prasannai,positive
5,attatama amathi thumata labunu amathyanshaya merata karmantha karuwanta hoda shakthiyak wewi. memagin wideswalata yana mudal wishala lesa merata thula ithiri karagatha hakiyi. paramparika karmantha thawathawath diunu karannata shakthiya diriya labewa,positive
6,oba pragathishili deshapalakayek. hadawathin ma obata jaya pathami,positive
7,lokayama asarana wee sitina mohothaka kanthawak lesa oba dena nayakathwaya agaya karami,positive
8,deshiya arthikaya nanwaleemata oba darana uthsahaya sarthaka wana bawa mage wishwasayayi,positive
9,Sir obathumata dirgausha pathannemu,positive
10,Thanks you .. manthree thuma... Excellent explanation.. Please keep doing it... so we keep trust on you... and we admires the job you do in your ministry...,positive
11,Ahinsaka janathawage prayogika gatalu hndin awabodha karagana ..,thama wishaya pathaya thula kriyathmaka wena obathumata jayen jaya..,positive
12,oba tumiyata karanna puluwan de oba tumiya uparimayen karanawa oba tumiyata istuti,positive
13,obagen wiya yuthu yuthukam niwaradiwa itukireema gana sathutui..,positive
14,janathawa samaga sitina janatha apeksha hadunana obathumata mage upaharaya..,positive
15,obage karunu idiripath kireema itha usas mattamin sidukala,positive
16,Mata puluwanda oba thumiya samaga onama nalikawaka viurtha sanwadayak pawth wanta,positive
17,ape amathi thumata budu saranayi siyalu dewiyangema pihitai me karana sewayata,positive
18,Budusaranai nawa adasvalata sudapatum samaga saktiya labawa,positive
19,Kalaniya vidatha sampath maddayas tanayat loku sewayak kala viwasayaka apita,positive
20,Theruwansaranai obathumata,positive
